analysis,x,time,estimate,lcl,ucl,natrisk
Survival,1,0.7663862058,0.9926622991,0.9917063952,0.9935283108,
Survival,1,0.780594068,0.9926189666,0.9916590401,0.9934887856,
Survival,1,0.7806250793,0.992575634,0.9916117035,0.9934492448,
Survival,1,0.7896517655,0.9925319429,0.9915639578,0.9934093908,
Survival,1,0.791021926,0.9924881862,0.9915161527,0.9933694666,
Survival,1,0.7929707752,0.992444331,0.9914682487,0.9933294449,
Survival,1,0.8045727728,0.9924000116,0.9914198099,0.9932890221,
Survival,1,0.8055334362,0.9923556664,0.9913713594,0.9932485619,
Survival,1,0.8095380792,0.9923111382,0.9913227095,0.9932079338,
Survival,1,0.8126097005,0.9922664415,0.9912738778,0.9931671498,
Survival,1,0.8143767795,0.9922216722,0.9912249786,0.9931262895,
Survival,1,0.8173504924,0.9921767672,0.9911759365,0.9930853006,
Survival,1,0.8423611483,0.9921307948,0.9911256399,0.9930434102,
Survival,1,0.8440338253,0.9920847605,0.9910752899,0.9930014513,
Survival,1,0.8469607785,0.9920385719,0.9910247759,0.9929593476,
Survival,1,0.8473394018,0.9919923661,0.9909742617,0.9929172125,
Survival,1,0.857056654,0.9919457631,0.9909232934,0.9928747312,
Survival,1,0.8580436071,0.9918991052,0.9908722802,0.9928321874,
Survival,1,0.8592881517,0.9918523924,0.9908212217,0.9927895808,
Survival,1,0.8615719842,0.9918055893,0.9907700756,0.9927468824,
Survival,1,0.8700333862,0.9917584368,0.990718533,0.9927038772,
Survival,1,0.8865397283,0.9917104585,0.9906660247,0.9926601706,
Survival,1,0.8889551769,0.9916623686,0.9906134045,0.9926163535,
Survival,1,0.8989631741,0.9916138101,0.9905602457,0.9925721307,
Survival,1,0.9039448557,0.9915650054,0.9905068145,0.9925276859,
Survival,1,0.9047012266,0.9915161767,0.9904533767,0.9924832025,
Survival,1,0.906715706,0.991467266,0.990399863,0.992438633,
Survival,1,0.915278504,0.9914179221,0.9903458533,0.9923936866,
Survival,1,0.9251348521,0.9913681146,0.9902913114,0.9923483382,
Survival,1,0.9280075281,0.9913181717,0.9902366303,0.9923028586,
Survival,1,0.9373821435,0.9912677742,0.9901814281,0.9922569845,
